name,department,program,research_area,faculty_page,email
Yanfu Zhang,Computer Science,CS,"Machine Learning, Data Mining, Computer Vision",,
Ye (Ashley) Gao,Computer Science,CS,"Transfer Learning, Domain Generalization",,
Qun Li,Computer Science,CS,"Machine Learning, AI",,
Huajie Shao,Computer Science,CS,"Machine Learning, AI",,
Jindong Wang,Data Science,Data Science,"Machine Learning, Transfer Learning, Foundation Models, LLMs, Generative AI",,
Cristiano Fanelli,Data Science,Data Science,"Uncertainty-aware Machine Learning, Bayesian Inference, AI-Physics",,
Daniel Vassiliu,Data Science,Data Science,"Machine Learning, Biomathematics",,
Ayan Mukhopadhyay,Computer Science,CS,"Machine Learning, AI",,
