name,department,program,research_area,faculty_page,email
YY Ahn,School of Data Science,Data Science,"machine learning, network science, AI",,
Chirag Agarwal,School of Data Science,Data Science,trustworthy machine learning,,
Aidong Zhang,School of Data Science,Data Science,"data mining, machine learning",,
Lei Li,School of Data Science,Data Science,"computer vision, deep learning, spatial intelligence",,
Sheng Li,School of Data Science,Data Science,"intelligent systems, machine learning",,
Taylor Brown,School of Data Science,Data Science,"AI, machine learning, computational sciences",,
Tom Hartvigsen,School of Data Science,Data Science,"trustworthy machine learning, high-stakes applications",,
Stephen Baek,School of Data Science,Data Science,"machine learning for geometry, shape analysis",,
