name,department,program,research_area,faculty_page,email
Shayok Chakraborty,Computer Science,Graduate,Computer Vision and Machine Learning,,
Yushun Dong,Computer Science,Graduate,"Explainability, Algorithmic Fairness, AI Security, AI/ML+X Applications",,
Shangqian Gao,Computer Science,Graduate,"Efficient Machine Learning, Cross-Modal Learning, Reinforcement Learning",,
Michael Gubanov,Computer Science,Graduate,"Scalable Machine/Deep Learning, Data Science",,
Shibo Li,Computer Science,Graduate,"Probabilistic Machine Learning, Physics-Informed Machine Learning",,
Xiuwen Liu,Computer Science,Graduate,"Computer Vision, Pattern Recognition",,
Guang Wang,Computer Science,Graduate,"Trustworthy Machine Learning, Fairness, Privacy, Safety",,
Kai Zhao,Computer Science,Graduate,Large Scale Deep Neural Networks,,
